모델,Pinball↓,CRPS_근사↓,Coverage@90,IntervalWidth↓,MAE↓,RMSE↓
QRF (onehot),408.451284487602,816.902568975204,0.9239254865230513,6067.760879451092,1295.4123217816627,2796.323289673138
LightGBM Quantile (onehot),409.6090206669223,819.2180413338446,0.8658549276719741,5369.193363331667,1293.1341257976346,2847.586595817515
CatBoost MultiQuantile (onehot),410.80253702027363,821.6050740405473,0.889478613799563,5811.516746094023,1298.7648749557382,2841.7323890091748
QRF (target_enc),410.81636116670916,821.6327223334183,0.9270475595795609,6121.377156570898,1302.0770163891018,2806.633497409145
XGBoost Quantile (onehot),414.0826585360141,828.1653170720282,0.8813612238526382,5742.1494140625,1297.9089158544775,2847.590178257992
CatBoost MultiQuantile (target_enc),414.47460463395663,828.9492092679133,0.886460609844937,5696.799836602867,1309.6679459116483,2866.460001638102
LightGBM Quantile (target_enc),414.86512328496957,829.7302465699391,0.8685607243209491,5363.409668380279,1296.661730857249,2833.9541867603416
XGBoost Quantile (target_enc),418.3434116194575,836.686823238915,0.8839629513997295,5760.3486328125,1313.3514427385933,2859.3403189749783
NGBoost (target_enc),438.66019200304464,877.3203840060893,0.8896867520033303,5511.379666081132,1365.3135676885397,2909.1664111329756
Linear QR (target_enc),609.6804340510247,1219.3608681020494,0.9060256009990634,10123.669147447788,1895.6891649861511,6580.201852993358
