buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,houseType,monthlyRent,preDeposit,preMonthlyRent,sggCd,totalFloorAr,umdNm,useRRRight,sigungu_cd,sigungu_name,deposit_manwon,is_jeonse,time_index
1990.0,23.08~24.08,신규,8,8,2023,200,단독,35,,,41117,50.0,매탄동,,41117,영통구,200.0,False,24284
2002.0,23.08~25.08,신규,17,8,2023,500,다가구,32,,,41111,26.788,영화동,,41111,장안구,500.0,False,24284
2012.0,23.08~24.08,신규,27,8,2023,500,다가구,48,,,41111,40.64,연무동,,41111,장안구,500.0,False,24284
2004.0,23.08~24.08,신규,28,8,2023,500,단독,36,,,41111,18.0,율전동,,41111,장안구,500.0,False,24284
1997.0,,,3,8,2023,"1,000",단독,30,,,41111,40.0,정자동,,41111,장안구,1000.0,False,24284
2002.0,23.08~24.08,신규,24,8,2023,500,단독,42,,,41111,22.0,율전동,,41111,장안구,500.0,False,24284
2017.0,23.09~25.09,신규,26,8,2023,"8,000",다가구,30,,,41111,48.0,파장동,,41111,장안구,8000.0,False,24284
1983.0,23.10~25.10,신규,31,8,2023,"2,000",단독,65,,,41111,76.44,정자동,,41111,장안구,2000.0,False,24284
2014.0,23.08~25.08,신규,14,8,2023,"1,000",다가구,65,,,41111,49.0,정자동,,41111,장안구,1000.0,False,24284
2022.0,23.08~24.08,신규,17,8,2023,500,다가구,50,,,41111,23.0,율전동,,41111,장안구,500.0,False,24284
2001.0,23.08~24.08,신규,19,8,2023,300,단독,32,,,41111,24.0,율전동,,41111,장안구,300.0,False,24284
2016.0,23.09~24.09,신규,31,8,2023,"1,000",다가구,55,,,41111,60.0,하광교동,,41111,장안구,1000.0,False,24284
1984.0,,,14,8,2023,300,다가구,30,,,41111,25.0,영화동,,41111,장안구,300.0,False,24284
2003.0,23.08~25.08,신규,24,8,2023,300,다가구,35,,,41111,27.0,조원동,,41111,장안구,300.0,False,24284
2013.0,23.08~25.08,갱신,26,8,2023,"11,000",다가구,0,"10,500",,41111,45.0,영화동,,41111,장안구,11000.0,True,24284
2017.0,,,9,8,2023,"3,000",단독,0,,,41111,14.5,정자동,,41111,장안구,3000.0,True,24284
2016.0,23.10~25.10,신규,20,8,2023,"14,000",다가구,0,,,41111,69.57,파장동,,41111,장안구,14000.0,True,24284
